ID,Parameters_Name,baseline,pmin,pmax
1,sE,1,1,100
2,sR,36,10,100
3,D_{ss},100000,1000,10000000
4,a_{Em},0.01,0.001,0.1
5,\eta_{basal},0.01,0.01,0.03
6,\alpha_e,0.11,0.01,0.5
7,\beta_e,22,21,30
8,f_m,1,0.1,2
9,f_{ma},1,0.1,2
10,J,50000,48000,50000
11,k,0.4,0.4,1
12,b,0.09,0.01,0.1
13,c,0.1,0.07,0.25
14,e_1,1e-08,1e-08,1e-06
15,e_2,1e-08,1e-08,1e-06
16,\alpha_B,0.0334,0.02,0.05
17,\delta_B,0.0166666666666667,0.0161290322580645,0.0172413793103448
18,G_{hb},90,81,100
19,R_0,864,500,1000
20,G0,1.44,0.1,2
21,S_I,0.72,0.1,1
22,\sigma_I,43.2,30,50
23,\delta_I,432,460,576
24,GI,141.42135623731,14.142135623731,141.42135623731
25,Q_{panc},0.194,0.1,0.5
26,b_{DE},4.87e-06,1e-06,1e-05
27,b_{IR},4.87e-06,1e-06,1e-05
28,a_{E},0.1199,0.1,0.5
29,a_{R},0.1199,0.1,0.5
30,T_{naive},370,100,500
31,b_{p},12,10,90
32,r_{am},0.01,0.001,1.5
33,\theta_D,212000,100,100000
34,d,0.5,0.5,1
35,b_{E},0.001,0.0001,0.1
36,b_{R},0.001,0.0001,0.1
37,\mu_{BP},0.1,0.01,1
38,\mu_D,0.51,0.1,1
39,fD,1.7101e-07,5e-08,5e-07
40,ftD,1.1899e-06,3e-07,5e-06
41,mu_E,2e-06,1e-06,1e-05
42,mu_R,2e-06,1e-06,1e-05
43,dummy,1,0,10
